resource_type,service,n_properties,n_property_types,n_required,required_properties,out_degree,in_degree
AWS::ECS::Daemon,ECS,9,2,0,,11,0
AWS::ECS::DaemonTaskDefinition,ECS,8,19,0,,27,0
AWS::ECS::ExpressGatewayService,ECS,12,13,3,ExecutionRoleArn|InfrastructureRoleArn|PrimaryContainer,25,0
AWS::ECS::PrimaryTaskSet,ECS,3,0,3,TaskSetId|Cluster|Service,3,0
AWS::ECS::Service,ECS,26,32,0,,58,0
AWS::ECS::TaskDefinition,ECS,17,32,0,,49,0
AWS::ECS::TaskSet,ECS,12,6,3,TaskDefinition|Cluster|Service,18,0
AWS::EFS::AccessPoint,EFS,5,4,1,FileSystemId,9,0
AWS::EFS::FileSystem,EFS,13,6,0,,19,0
AWS::EFS::MountTarget,EFS,6,0,3,SecurityGroups|FileSystemId|SubnetId,6,0
AWS::EKS::AccessEntry,EKS,7,2,2,PrincipalArn|ClusterName,9,0
AWS::EKS::Addon,EKS,10,2,2,ClusterName|AddonName,12,0
AWS::EKS::Capability,EKS,7,6,5,Type|ClusterName|DeletePropagationPolicy|CapabilityName|RoleArn,13,0
AWS::EKS::Cluster,EKS,19,20,2,RoleArn|ResourcesVpcConfig,39,0
AWS::EKS::FargateProfile,EKS,6,2,3,ClusterName|PodExecutionRoleArn|Selectors,8,0
AWS::EKS::IdentityProviderConfig,EKS,5,2,2,Type|ClusterName,7,0
AWS::EKS::Nodegroup,EKS,20,8,3,NodeRole|Subnets|ClusterName,28,0
AWS::EKS::PodIdentityAssociation,EKS,8,0,4,ServiceAccount|ClusterName|RoleArn|Namespace,8,0
AWS::EMR::Cluster,EMR,27,35,4,Instances|JobFlowRole|Name|ServiceRole,62,0
AWS::EMR::InstanceFleetConfig,EMR,8,12,2,ClusterId|InstanceFleetType,20,0
AWS::EMR::InstanceGroupConfig,EMR,11,12,4,InstanceCount|InstanceRole|InstanceType|JobFlowId,23,0
AWS::EMR::SecurityConfiguration,EMR,2,0,1,SecurityConfiguration,2,0
AWS::EMR::Step,EMR,6,2,4,JobFlowId|ActionOnFailure|HadoopJarStep|Name,8,0
AWS::EMR::Studio,EMR,17,0,8,WorkspaceSecurityGroupId|DefaultS3Location|SubnetIds|Name|ServiceRole|VpcId|EngineSecurityGroupId|AuthMode,17,0
AWS::EMR::StudioSessionMapping,EMR,4,0,4,IdentityType|SessionPolicyArn|StudioId|IdentityName,4,0
AWS::EMR::WALWorkspace,EMR,2,0,0,,2,0
AWS::EMRContainers::Endpoint,EMRContainers,7,7,4,ExecutionRoleArn|Type|VirtualClusterId|ReleaseLabel,14,0
AWS::EMRContainers::SecurityConfiguration,EMRContainers,4,16,1,SecurityConfigurationData,20,0
AWS::EMRContainers::VirtualCluster,EMRContainers,4,3,2,ContainerProvider|Name,7,0
AWS::EMRServerless::Application,EMRServerless,17,19,2,Type|ReleaseLabel,36,0
AWS::EVS::Environment,EVS,14,9,8,LicenseInfo|SiteId|ConnectivityInfo|VpcId|TermsAccepted|VcfVersion|VcfHostnames|ServiceAccessSubnetId,23,0
AWS::ElastiCache::CacheCluster,ElastiCache,25,4,3,CacheNodeType|Engine|NumCacheNodes,29,0
AWS::ElastiCache::GlobalReplicationGroup,ElastiCache,10,3,1,Members,13,0
AWS::ElastiCache::ParameterGroup,ElastiCache,4,0,2,Description|CacheParameterGroupFamily,4,0
AWS::ElastiCache::ReplicationGroup,ElastiCache,38,7,1,ReplicationGroupDescription,45,0
AWS::ElastiCache::SecurityGroup,ElastiCache,2,0,1,Description,2,0
AWS::ElastiCache::SecurityGroupIngress,ElastiCache,3,0,2,CacheSecurityGroupName|EC2SecurityGroupName,3,0
AWS::ElastiCache::ServerlessCache,ElastiCache,16,4,2,ServerlessCacheName|Engine,20,0
AWS::ElastiCache::SubnetGroup,ElastiCache,4,0,2,Description|SubnetIds,4,0
AWS::ElastiCache::User,ElastiCache,8,1,3,UserName|UserId|Engine,9,0
AWS::ElastiCache::UserGroup,ElastiCache,4,0,3,UserGroupId|Engine|UserIds,4,0
AWS::ElasticBeanstalk::Application,ElasticBeanstalk,3,4,0,,7,0
AWS::ElasticBeanstalk::ApplicationVersion,ElasticBeanstalk,3,1,2,ApplicationName|SourceBundle,4,0
AWS::ElasticBeanstalk::ConfigurationTemplate,ElasticBeanstalk,7,2,1,ApplicationName,9,0
AWS::ElasticBeanstalk::Environment,ElasticBeanstalk,12,2,1,ApplicationName,14,0
AWS::ElasticLoadBalancing::LoadBalancer,ElasticLoadBalancing,16,10,1,Listeners,26,0
AWS::ElasticLoadBalancingV2::Listener,ElasticLoadBalancingV2,9,13,2,LoadBalancerArn|DefaultActions,22,0
AWS::ElasticLoadBalancingV2::ListenerCertificate,ElasticLoadBalancingV2,2,1,2,Certificates|ListenerArn,3,0
AWS::ElasticLoadBalancingV2::ListenerRule,ElasticLoadBalancingV2,5,21,3,Actions|Priority|Conditions,26,0
AWS::ElasticLoadBalancingV2::LoadBalancer,ElasticLoadBalancingV2,14,3,0,,17,0
AWS::ElasticLoadBalancingV2::TargetGroup,ElasticLoadBalancingV2,20,3,0,,23,0
AWS::ElasticLoadBalancingV2::TrustStore,ElasticLoadBalancingV2,5,0,0,,5,0
AWS::ElasticLoadBalancingV2::TrustStoreRevocation,ElasticLoadBalancingV2,2,2,0,,4,0
AWS::Elasticsearch::Domain,Elasticsearch,15,13,0,,28,0
AWS::ElementalInference::Feed,ElementalInference,3,3,2,Outputs|Name,6,0
AWS::EntityResolution::IdMappingWorkflow,EntityResolution,8,8,4,InputSourceConfig|IdMappingTechniques|WorkflowName|RoleArn,16,0
AWS::EntityResolution::IdNamespace,EntityResolution,7,5,2,IdNamespaceName|Type,12,0
AWS::EntityResolution::MatchingWorkflow,EntityResolution,8,12,5,ResolutionTechniques|InputSourceConfig|WorkflowName|OutputSourceConfig|RoleArn,20,0
AWS::EntityResolution::PolicyStatement,EntityResolution,6,0,2,StatementId|Arn,6,0
AWS::EntityResolution::SchemaMapping,EntityResolution,4,1,2,MappedInputFields|SchemaName,5,0
AWS::EventSchemas::Discoverer,EventSchemas,4,1,1,SourceArn,5,0
AWS::EventSchemas::Registry,EventSchemas,3,1,0,,4,0
AWS::EventSchemas::RegistryPolicy,EventSchemas,3,0,2,Policy|RegistryName,3,0
AWS::EventSchemas::Schema,EventSchemas,6,1,3,Type|Content|RegistryName,7,0
AWS::Events::ApiDestination,Events,6,0,3,ConnectionArn|InvocationEndpoint|HttpMethod,6,0
AWS::Events::Archive,Events,6,0,1,SourceArn,6,0
AWS::Events::Connection,Events,6,10,0,,16,0
AWS::Events::Endpoint,Events,6,6,2,EventBuses|RoutingConfig,12,0
AWS::Events::EventBus,Events,8,2,1,Name,10,0
AWS::Events::EventBusPolicy,Events,3,0,1,StatementId,3,0
AWS::Events::Rule,Events,9,22,0,,31,0
AWS::Evidently::Experiment,Evidently,12,5,5,Project|MetricGoals|OnlineAbConfig|Treatments|Name,17,0
AWS::Evidently::Feature,Evidently,8,2,3,Project|Variations|Name,10,0
AWS::Evidently::Launch,Evidently,9,6,4,Project|Groups|ScheduledSplitsConfig|Name,15,0
AWS::Evidently::Project,Evidently,5,3,1,Name,8,0
AWS::Evidently::Segment,Evidently,4,0,1,Name,4,0
AWS::FIS::ExperimentTemplate,FIS,9,13,4,Description|StopConditions|Targets|RoleArn,22,0
AWS::FIS::TargetAccountConfiguration,FIS,4,0,3,AccountId|ExperimentTemplateId|RoleArn,4,0
AWS::FMS::NotificationChannel,FMS,2,0,2,SnsTopicArn|SnsRoleName,2,0
AWS::FMS::Policy,FMS,15,12,4,ExcludeResourceTags|SecurityServicePolicyData|RemediationEnabled|PolicyName,27,0
AWS::FMS::ResourceSet,FMS,5,0,2,ResourceTypeList|Name,5,0
AWS::FSx::DataRepositoryAssociation,FSx,7,3,3,FileSystemPath|DataRepositoryPath|FileSystemId,10,0
AWS::FSx::FileSystem,FSx,14,15,2,SubnetIds|FileSystemType,29,0
AWS::FSx::S3AccessPointAttachment,FSx,5,10,2,Type|Name,15,0
AWS::FSx::Snapshot,FSx,3,0,2,VolumeId|Name,3,0
AWS::FSx::StorageVirtualMachine,FSx,6,2,2,FileSystemId|Name,8,0
AWS::FSx::Volume,FSx,6,12,1,Name,18,0
AWS::FinSpace::Environment,FinSpace,7,3,1,Name,10,0
AWS::Forecast::Dataset,Forecast,7,4,4,DatasetName|Schema|DatasetType|Domain,11,0
AWS::Forecast::DatasetGroup,Forecast,4,0,2,DatasetGroupName|Domain,4,0
AWS::FraudDetector::Detector,FraudDetector,8,7,3,EventType|DetectorId|Rules,15,0
AWS::FraudDetector::EntityType,FraudDetector,3,0,1,Name,3,0
AWS::FraudDetector::EventType,FraudDetector,6,3,4,EntityTypes|Labels|EventVariables|Name,9,0
AWS::FraudDetector::Label,FraudDetector,3,0,1,Name,3,0
AWS::FraudDetector::List,FraudDetector,5,0,1,Name,5,0
AWS::FraudDetector::Outcome,FraudDetector,3,0,1,Name,3,0
AWS::FraudDetector::Variable,FraudDetector,7,0,4,DefaultValue|DataType|Name|DataSource,7,0
AWS::GameLift::Alias,GameLift,4,1,2,RoutingStrategy|Name,5,0
AWS::GameLift::Build,GameLift,6,1,0,,7,0
AWS::GameLift::ContainerFleet,GameLift,18,11,1,FleetRoleArn,29,0
AWS::GameLift::ContainerGroupDefinition,GameLift,10,8,4,OperatingSystem|TotalMemoryLimitMebibytes|TotalVcpuLimit|Name,18,0
AWS::GameLift::Fleet,GameLift,24,12,1,Name,36,0
AWS::GameLift::GameServerGroup,GameLift,12,4,3,GameServerGroupName|InstanceDefinitions|RoleArn,16,0
AWS::GameLift::GameSessionQueue,GameLift,9,4,1,Name,13,0
AWS::GameLift::Location,GameLift,2,0,1,LocationName,2,0
AWS::GameLift::MatchmakingConfiguration,GameLift,17,1,4,Name|RequestTimeoutSeconds|AcceptanceRequired|RuleSetName,18,0
AWS::GameLift::MatchmakingRuleSet,GameLift,3,0,2,RuleSetBody|Name,3,0
AWS::GameLift::Script,GameLift,5,1,1,StorageLocation,6,0
AWS::GlobalAccelerator::Accelerator,GlobalAccelerator,5,0,1,Name,5,0
AWS::GlobalAccelerator::CrossAccountAttachment,GlobalAccelerator,4,1,1,Name,5,0
AWS::GlobalAccelerator::EndpointGroup,GlobalAccelerator,10,2,2,ListenerArn|EndpointGroupRegion,12,0
AWS::GlobalAccelerator::Listener,GlobalAccelerator,4,1,3,PortRanges|AcceleratorArn|Protocol,5,0
AWS::Glue::Catalog,Glue,11,6,1,Name,17,0
AWS::Glue::Classifier,Glue,4,4,0,,8,0
AWS::Glue::Connection,Glue,2,8,2,ConnectionInput|CatalogId,10,0
AWS::Glue::Crawler,Glue,14,13,2,Targets|Role,27,0
AWS::Glue::CustomEntityType,Glue,4,0,0,,4,0
AWS::Glue::DataCatalogEncryptionSettings,Glue,2,3,2,DataCatalogEncryptionSettings|CatalogId,5,0
AWS::Glue::DataQualityRuleset,Glue,6,1,0,,7,0
AWS::Glue::Database,Glue,3,5,2,DatabaseInput|CatalogId,8,0
AWS::Glue::DevEndpoint,Glue,15,0,1,RoleArn,15,0
AWS::Glue::IdentityCenterConfiguration,Glue,3,0,1,InstanceArn,3,0
AWS::Glue::Integration,Glue,9,1,3,IntegrationName|SourceArn|TargetArn,10,0
AWS::Glue::IntegrationResourceProperty,Glue,4,2,1,ResourceArn,6,0
AWS::Glue::Job,Glue,23,4,2,Role|Command,27,0
AWS::Glue::MLTransform,Glue,13,6,3,Role|TransformParameters|InputRecordTables,19,0
AWS::Glue::Partition,Glue,4,8,4,TableName|DatabaseName|CatalogId|PartitionInput,12,0
AWS::Glue::Registry,Glue,3,0,1,Name,3,0
AWS::Glue::Schema,Glue,8,2,3,DataFormat|Compatibility|Name,10,0
AWS::Glue::SchemaVersion,Glue,2,1,2,SchemaDefinition|Schema,3,0
AWS::Glue::SchemaVersionMetadata,Glue,3,0,3,SchemaVersionId|Value|Key,3,0
AWS::Glue::SecurityConfiguration,Glue,2,5,2,EncryptionConfiguration|Name,7,0
AWS::Glue::Table,Glue,4,12,3,TableInput|DatabaseName|CatalogId,16,0
AWS::Glue::TableOptimizer,Glue,5,6,5,TableName|Type|DatabaseName|TableOptimizerConfiguration|CatalogId,11,0
AWS::Glue::Trigger,Glue,10,5,2,Type|Actions,15,0
AWS::Glue::UsageProfile,Glue,4,2,1,Name,6,0
AWS::Glue::Workflow,Glue,5,0,0,,5,0
AWS::Grafana::Workspace,Grafana,17,6,3,PermissionType|AccountAccessType|AuthenticationProviders,23,0
AWS::Greengrass::ConnectorDefinition,Greengrass,3,2,1,Name,5,0
AWS::Greengrass::ConnectorDefinitionVersion,Greengrass,2,1,2,Connectors|ConnectorDefinitionId,3,0
AWS::Greengrass::CoreDefinition,Greengrass,3,2,1,Name,5,0
AWS::Greengrass::CoreDefinitionVersion,Greengrass,2,1,2,Cores|CoreDefinitionId,3,0
AWS::Greengrass::DeviceDefinition,Greengrass,3,2,1,Name,5,0
AWS::Greengrass::DeviceDefinitionVersion,Greengrass,2,1,2,DeviceDefinitionId|Devices,3,0
AWS::Greengrass::FunctionDefinition,Greengrass,3,8,1,Name,11,0
AWS::Greengrass::FunctionDefinitionVersion,Greengrass,3,7,2,Functions|FunctionDefinitionId,10,0
AWS::Greengrass::Group,Greengrass,4,1,1,Name,5,0
AWS::Greengrass::GroupVersion,Greengrass,8,0,1,GroupId,8,0
AWS::Greengrass::LoggerDefinition,Greengrass,3,2,1,Name,5,0
AWS::Greengrass::LoggerDefinitionVersion,Greengrass,2,1,2,LoggerDefinitionId|Loggers,3,0
AWS::Greengrass::ResourceDefinition,Greengrass,3,10,1,Name,13,0
AWS::Greengrass::ResourceDefinitionVersion,Greengrass,2,9,2,Resources|ResourceDefinitionId,11,0
AWS::Greengrass::SubscriptionDefinition,Greengrass,3,2,1,Name,5,0
AWS::Greengrass::SubscriptionDefinitionVersion,Greengrass,2,1,2,SubscriptionDefinitionId|Subscriptions,3,0
AWS::GreengrassV2::ComponentVersion,GreengrassV2,3,9,0,,12,0
AWS::GreengrassV2::Deployment,GreengrassV2,7,14,1,TargetArn,21,0
AWS::GroundStation::Config,GroundStation,3,18,2,ConfigData|Name,21,0
AWS::GroundStation::DataflowEndpointGroup,GroundStation,4,9,1,EndpointDetails,13,0
AWS::GroundStation::DataflowEndpointGroupV2,GroundStation,4,15,0,,19,0
AWS::GroundStation::MissionProfile,GroundStation,10,2,4,MinimumViableContactDurationSeconds|DataflowEdges|TrackingConfigArn|Name,12,0
AWS::GuardDuty::Detector,GuardDuty,5,9,1,Enable,14,0
AWS::GuardDuty::Filter,GuardDuty,7,3,3,DetectorId|FindingCriteria|Name,10,0
AWS::GuardDuty::IPSet,GuardDuty,7,1,2,Format|Location,8,0
AWS::GuardDuty::MalwareProtectionPlan,GuardDuty,4,6,2,Role|ProtectedResource,10,0
AWS::GuardDuty::Master,GuardDuty,3,0,2,DetectorId|MasterId,3,0
AWS::GuardDuty::Member,GuardDuty,6,0,1,Email,6,0
AWS::GuardDuty::PublishingDestination,GuardDuty,4,2,3,DestinationProperties|DetectorId|DestinationType,6,0
AWS::GuardDuty::ThreatEntitySet,GuardDuty,7,1,2,Format|Location,8,0
AWS::GuardDuty::ThreatIntelSet,GuardDuty,7,1,2,Format|Location,8,0
AWS::GuardDuty::TrustedEntitySet,GuardDuty,7,1,2,Format|Location,8,0
AWS::HealthImaging::Datastore,HealthImaging,3,0,0,,3,0
AWS::HealthLake::FHIRDatastore,HealthLake,6,5,1,DatastoreTypeVersion,11,0
AWS::IAM::AccessKey,IAM,3,0,1,UserName,3,0
AWS::IAM::Group,IAM,4,1,0,,5,0
AWS::IAM::GroupPolicy,IAM,3,0,2,GroupName|PolicyName,3,0
AWS::IAM::InstanceProfile,IAM,3,0,1,Roles,3,0
AWS::IAM::ManagedPolicy,IAM,7,0,1,PolicyDocument,7,0
AWS::IAM::OIDCProvider,IAM,4,0,0,,4,0
AWS::IAM::Policy,IAM,5,0,2,PolicyName|PolicyDocument,5,0
AWS::IAM::Role,IAM,9,1,1,AssumeRolePolicyDocument,10,0
AWS::IAM::RolePolicy,IAM,3,0,2,RoleName|PolicyName,3,0
AWS::IAM::SAMLProvider,IAM,7,1,0,,8,0
AWS::IAM::ServerCertificate,IAM,6,0,0,,6,0
AWS::IAM::ServiceLinkedRole,IAM,3,0,0,,3,0
AWS::IAM::User,IAM,8,2,0,,10,0
AWS::IAM::UserPolicy,IAM,3,0,2,UserName|PolicyName,3,0
AWS::IAM::UserToGroupAddition,IAM,2,0,2,GroupName|Users,2,0
AWS::IAM::VirtualMFADevice,IAM,4,0,1,Users,4,0
AWS::IVS::Channel,IVS,10,1,0,,11,0
AWS::IVS::EncoderConfiguration,IVS,3,1,0,,4,0
AWS::IVS::IngestConfiguration,IVS,6,0,0,,6,0
AWS::IVS::PlaybackKeyPair,IVS,3,0,0,,3,0
AWS::IVS::PlaybackRestrictionPolicy,IVS,5,0,0,,5,0
AWS::IVS::PublicKey,IVS,3,0,0,,3,0
AWS::IVS::RecordingConfiguration,IVS,6,4,1,DestinationConfiguration,10,0
AWS::IVS::Stage,IVS,3,5,0,,8,0
AWS::IVS::StorageConfiguration,IVS,3,1,1,S3,4,0
AWS::IVS::StreamKey,IVS,2,0,1,ChannelArn,2,0
AWS::IVSChat::LoggingConfiguration,IVSChat,3,4,1,DestinationConfiguration,7,0
AWS::IVSChat::Room,IVSChat,6,1,0,,7,0
AWS::IdentityStore::Group,IdentityStore,3,0,2,DisplayName|IdentityStoreId,3,0
AWS::IdentityStore::GroupMembership,IdentityStore,3,1,3,MemberId|IdentityStoreId|GroupId,4,0
AWS::ImageBuilder::Component,ImageBuilder,10,1,3,Platform|Version|Name,11,0
AWS::ImageBuilder::ContainerRecipe,ImageBuilder,15,7,5,ParentImage|ContainerType|Name|TargetRepository|Version,22,0
AWS::ImageBuilder::DistributionConfiguration,ImageBuilder,4,10,2,Name|Distributions,14,0
AWS::ImageBuilder::Image,ImageBuilder,13,9,0,,22,0
AWS::ImageBuilder::ImagePipeline,ImageBuilder,15,8,2,Name|InfrastructureConfigurationArn,23,0
AWS::ImageBuilder::ImageRecipe,ImageBuilder,10,7,3,ParentImage|Version|Name,17,0
AWS::ImageBuilder::InfrastructureConfiguration,ImageBuilder,14,4,2,InstanceProfileName|Name,18,0
AWS::ImageBuilder::LifecyclePolicy,ImageBuilder,8,9,5,ResourceType|PolicyDetails|ExecutionRole|ResourceSelection|Name,17,0
AWS::ImageBuilder::Workflow,ImageBuilder,9,1,3,Type|Version|Name,10,0
AWS::Inspector::AssessmentTarget,Inspector,2,0,0,,2,0
AWS::Inspector::AssessmentTemplate,Inspector,5,0,3,AssessmentTargetArn|DurationInSeconds|RulesPackageArns,5,0
AWS::Inspector::ResourceGroup,Inspector,1,0,1,ResourceGroupTags,1,0
AWS::InspectorV2::CisScanConfiguration,InspectorV2,5,6,4,SecurityLevel|Schedule|Targets|ScanName,11,0
AWS::InspectorV2::CodeSecurityIntegration,InspectorV2,5,5,0,,10,0
AWS::InspectorV2::CodeSecurityScanConfiguration,InspectorV2,5,4,0,,9,0
AWS::InspectorV2::Filter,InspectorV2,5,7,3,FilterCriteria|FilterAction|Name,12,0
AWS::Interconnect::Connection,Interconnect,7,2,1,AttachPoint,9,0
AWS::InternetMonitor::Monitor,InternetMonitor,12,4,1,MonitorName,16,0
AWS::Invoicing::InvoiceUnit,Invoicing,6,2,3,Rule|InvoiceReceiver|Name,8,0
AWS::IoT::AccountAuditConfiguration,IoT,4,8,3,AccountId|AuditCheckConfigurations|RoleArn,12,0
AWS::IoT::Authorizer,IoT,8,0,1,AuthorizerFunctionArn,8,0
AWS::IoT::BillingGroup,IoT,3,1,0,,4,0
AWS::IoT::CACertificate,IoT,8,1,2,Status|CACertificatePem,9,0
AWS::IoT::Certificate,IoT,5,0,1,Status,5,0
AWS::IoT::CertificateProvider,IoT,4,0,2,LambdaFunctionArn|AccountDefaultForOperations,4,0
AWS::IoT::Command,IoT,14,8,1,CommandId,22,0
AWS::IoT::CustomMetric,IoT,4,0,1,MetricType,4,0
AWS::IoT::Dimension,IoT,4,0,2,Type|StringValues,4,0
AWS::IoT::DomainConfiguration,IoT,13,5,0,,18,0
AWS::IoT::EncryptionConfiguration,IoT,3,1,1,EncryptionType,4,0
AWS::IoT::FleetMetric,IoT,10,1,1,MetricName,11,0
AWS::IoT::JobTemplate,IoT,13,10,2,Description|JobTemplateId,23,0
AWS::IoT::Logging,IoT,4,1,3,AccountId|RoleArn|DefaultLogLevel,5,0
AWS::IoT::MitigationAction,IoT,4,7,2,ActionParams|RoleArn,11,0
AWS::IoT::Policy,IoT,3,0,1,PolicyDocument,3,0
AWS::IoT::PolicyPrincipalAttachment,IoT,2,0,2,PolicyName|Principal,2,0
AWS::IoT::ProvisioningTemplate,IoT,8,1,2,ProvisioningRoleArn|TemplateBody,9,0
AWS::IoT::ResourceSpecificLogging,IoT,3,0,3,TargetType|TargetName|LogLevel,3,0
AWS::IoT::RoleAlias,IoT,4,0,1,RoleArn,4,0
AWS::IoT::ScheduledAudit,IoT,6,0,2,TargetCheckNames|Frequency,6,0
AWS::IoT::SecurityProfile,IoT,8,9,0,,17,0
AWS::IoT::SoftwarePackage,IoT,3,0,0,,3,0
AWS::IoT::SoftwarePackageVersion,IoT,8,3,1,PackageName,11,0
AWS::IoT::Thing,IoT,2,1,0,,3,0
AWS::IoT::ThingGroup,IoT,5,2,0,,7,0
AWS::IoT::ThingPrincipalAttachment,IoT,3,0,2,Principal|ThingName,3,0
AWS::IoT::ThingType,IoT,4,3,0,,7,0
AWS::IoT::TopicRule,IoT,3,39,1,TopicRulePayload,42,0
AWS::IoT::TopicRuleDestination,IoT,3,2,0,,5,0
AWS::IoTAnalytics::Channel,IoTAnalytics,4,3,0,,7,0
AWS::IoTAnalytics::Dataset,IoTAnalytics,8,22,1,Actions,30,0
AWS::IoTAnalytics::Datastore,IoTAnalytics,6,13,0,,19,0
AWS::IoTAnalytics::Pipeline,IoTAnalytics,3,11,1,PipelineActivities,14,0
AWS::IoTCoreDeviceAdvisor::SuiteDefinition,IoTCoreDeviceAdvisor,2,2,1,SuiteDefinitionConfiguration,4,0
AWS::IoTEvents::AlarmModel,IoTEvents,9,20,2,AlarmRule|RoleArn,29,0
AWS::IoTEvents::DetectorModel,IoTEvents,7,25,2,DetectorModelDefinition|RoleArn,32,0
AWS::IoTEvents::Input,IoTEvents,4,2,1,InputDefinition,6,0
AWS::IoTFleetWise::Campaign,IoTFleetWise,19,17,4,SignalCatalogArn|Name|TargetArn|CollectionScheme,36,0
AWS::IoTFleetWise::DecoderManifest,IoTFleetWise,8,8,2,ModelManifestArn|Name,16,0
AWS::IoTFleetWise::Fleet,IoTFleetWise,4,0,2,Id|SignalCatalogArn,4,0
AWS::IoTFleetWise::ModelManifest,IoTFleetWise,6,0,2,SignalCatalogArn|Name,6,0
AWS::IoTFleetWise::SignalCatalog,IoTFleetWise,5,6,0,,11,0
AWS::IoTFleetWise::StateTemplate,IoTFleetWise,7,0,3,StateTemplateProperties|SignalCatalogArn|Name,7,0
AWS::IoTFleetWise::Vehicle,IoTFleetWise,7,4,3,DecoderManifestArn|ModelManifestArn|Name,11,0
AWS::IoTSiteWise::AccessPolicy,IoTSiteWise,3,7,3,AccessPolicyResource|AccessPolicyIdentity|AccessPolicyPermission,10,0
AWS::IoTSiteWise::Asset,IoTSiteWise,7,2,2,AssetModelId|AssetName,9,0
AWS::IoTSiteWise::AssetModel,IoTSiteWise,9,14,1,AssetModelName,23,0
AWS::IoTSiteWise::ComputationModel,IoTSiteWise,5,5,3,ComputationModelConfiguration|ComputationModelName|ComputationModelDataBinding,10,0
AWS::IoTSiteWise::Dashboard,IoTSiteWise,5,0,3,DashboardName|DashboardDefinition|DashboardDescription,5,0
AWS::IoTSiteWise::Dataset,IoTSiteWise,4,3,2,DatasetName|DatasetSource,7,0
AWS::IoTSiteWise::Gateway,IoTSiteWise,5,4,2,GatewayName|GatewayPlatform,9,0
AWS::IoTSiteWise::Portal,IoTSiteWise,10,2,3,PortalName|PortalContactEmail|RoleArn,12,0
AWS::IoTSiteWise::Project,IoTSiteWise,5,0,2,ProjectName|PortalId,5,0
AWS::IoTThingsGraph::FlowTemplate,IoTThingsGraph,2,1,1,Definition,3,0
AWS::IoTTwinMaker::ComponentType,IoTTwinMaker,10,12,2,WorkspaceId|ComponentTypeId,22,0
AWS::IoTTwinMaker::Entity,IoTTwinMaker,8,11,2,EntityName|WorkspaceId,19,0
AWS::IoTTwinMaker::Scene,IoTTwinMaker,7,0,3,SceneId|ContentLocation|WorkspaceId,7,0
AWS::IoTTwinMaker::SyncJob,IoTTwinMaker,4,0,3,SyncSource|SyncRole|WorkspaceId,4,0
AWS::IoTTwinMaker::Workspace,IoTTwinMaker,5,0,3,Role|WorkspaceId|S3Location,5,0
AWS::IoTWireless::Destination,IoTWireless,6,0,3,Expression|ExpressionType|Name,6,0
AWS::IoTWireless::DeviceProfile,IoTWireless,3,1,0,,4,0
AWS::IoTWireless::FuotaTask,IoTWireless,10,1,3,FirmwareUpdateImage|LoRaWAN|FirmwareUpdateRole,11,0
AWS::IoTWireless::MulticastGroup,IoTWireless,6,1,1,LoRaWAN,7,0
AWS::IoTWireless::NetworkAnalyzerConfiguration,IoTWireless,6,1,1,Name,7,0
AWS::IoTWireless::PartnerAccount,IoTWireless,7,3,0,,10,0
AWS::IoTWireless::ServiceProfile,IoTWireless,3,1,0,,4,0
AWS::IoTWireless::TaskDefinition,IoTWireless,6,4,1,AutoCreateTasks,10,0
AWS::IoTWireless::WirelessDevice,IoTWireless,9,9,2,Type|DestinationName,18,0
AWS::IoTWireless::WirelessDeviceImportTask,IoTWireless,3,1,2,DestinationName|Sidewalk,4,0
AWS::IoTWireless::WirelessGateway,IoTWireless,7,1,1,LoRaWAN,8,0
AWS::KMS::Alias,KMS,2,0,2,TargetKeyId|AliasName,2,0
AWS::KMS::Key,KMS,12,0,0,,12,0
AWS::KMS::ReplicaKey,KMS,6,0,2,KeyPolicy|PrimaryKeyArn,6,0
AWS::KafkaConnect::Connector,KafkaConnect,14,18,9,KafkaCluster|KafkaConnectVersion|ConnectorConfiguration|Capacity|KafkaClusterEncryptionInTransit|KafkaClusterClientAuthentication|ConnectorName|ServiceExecutionRoleArn|Plugins,32,0
AWS::KafkaConnect::CustomPlugin,KafkaConnect,5,3,3,ContentType|Name|Location,8,0
AWS::KafkaConnect::WorkerConfiguration,KafkaConnect,4,0,2,PropertiesFileContent|Name,4,0
AWS::Kendra::DataSource,Kendra,10,8,3,IndexId|Type|Name,18,0
AWS::Kendra::Faq,Kendra,8,1,4,IndexId|S3Path|RoleArn|Name,9,0
AWS::Kendra::Index,Kendra,10,9,3,RoleArn|Edition|Name,19,0
AWS::KendraRanking::ExecutionPlan,KendraRanking,4,1,1,Name,5,0
AWS::Kinesis::ResourcePolicy,Kinesis,2,0,2,ResourceArn|ResourcePolicy,2,0
AWS::Kinesis::Stream,Kinesis,9,3,0,,12,0
AWS::Kinesis::StreamConsumer,Kinesis,3,0,2,ConsumerName|StreamARN,3,0
AWS::KinesisAnalytics::Application,KinesisAnalytics,4,12,1,Inputs,16,0
AWS::KinesisAnalytics::ApplicationOutput,KinesisAnalytics,2,5,2,ApplicationName|Output,7,0
AWS::KinesisAnalytics::ApplicationReferenceDataSource,KinesisAnalytics,2,8,2,ApplicationName|ReferenceDataSource,10,0
AWS::KinesisAnalyticsV2::Application,KinesisAnalyticsV2,9,39,2,RuntimeEnvironment|ServiceExecutionRole,48,0
AWS::KinesisAnalyticsV2::ApplicationCloudWatchLoggingOption,KinesisAnalyticsV2,2,1,2,ApplicationName|CloudWatchLoggingOption,3,0
