Error Message,Count,Percentage,claude-3-5,claude-3-7,deepseek-r1,deepseek-s3,gpt-4o,o3-mini,deployment,syntax_validation,yaml_validation
"Resource handler returned message: ""The resource you are attempting to share can only be shared within your AWS Organization. This error may also occur if you have not enabled sharing with your AWS organization, or that onboarding process is still in progress. (Service: Ram, Status Code: 400, Request ID: e8d99881-798f-41a3-bc71-b8cc0d65ae08) (SDK Attempt Count: 1)"" (RequestToken: f686e808-45de-1f16-7d01-e7e1f563d7e0, HandlerErrorCode: InvalidRequest)",1,0.01,1,0,0,0,0,0,1,0,0
{'Value': ['#!/bin/bash\nif ! systemctl is-active --quiet nginx; then\n  systemctl start nginx\nfi\n']} is not of type 'string',1,0.01,1,0,0,0,0,0,0,1,0
"Resource handler returned message: ""The vpc ID 'vpc-0123456789abcdef0' does not exist (Service: Ec2, Status Code: 400, Request ID: 042688c9-ff0d-49b3-bb93-ed7f1ea5fd43) (SDK Attempt Count: 1)"" (RequestToken: 35fb0b9f-c301-8b36-c797-362c44a31311, HandlerErrorCode: InvalidRequest)",1,0.01,1,0,0,0,0,0,1,0,0
{'Fn::Sub': '${AWS::Region}'} is not a 'AWS::EC2::Image.Id' when 'Fn::Sub' is resolved,1,0.01,1,0,0,0,0,0,0,1,0
"Parameter validation failed: parameter value my-keypair for parameter name KeyPairName does not exist, parameter value vpc-0123456789abcdef0 for parameter name VpcId does not exist, parameter value subnet-0123456789abcdef0 for parameter name SubnetId does not exist. Delete requested by user.",1,0.01,1,0,0,0,0,0,1,0,0
'VPC' dependency already enforced by a 'Ref' at 'Resources/PublicSubnet2/Properties/VpcId',1,0.01,1,0,0,0,0,0,0,1,0
'VPC' dependency already enforced by a 'Ref' at 'Resources/PublicSubnet1/Properties/VpcId',1,0.01,1,0,0,0,0,0,0,1,0
'NatEip' dependency already enforced by a 'GetAtt' at 'Resources/NatGateway/Properties/AllocationId',1,0.01,1,0,0,0,0,0,0,1,0
"Resource handler returned message: ""Invalid request provided: There was an issue setting up your repository. Please try again later.({""message"":""Bad credentials"",""documentation_url"":""https://docs.github.com/rest"",""status"":""401""}) (Service: Amplify, Status Code: 400, Request ID: 2570ef1e-a696-4188-b0d5-e5e54d924705) (SDK Attempt Count: 1)"" (RequestToken: 55615323-79e8-c73f-632a-80d97c662387, HandlerErrorCode: InvalidRequest)",1,0.01,1,0,0,0,0,0,1,0,0
"Resource handler returned message: ""Policy arn:aws:iam::aws:policy/service-role/AmplifyServiceRole does not exist or is not attachable. (Service: Iam, Status Code: 404, Request ID: d5bef5d4-06e9-46b0-b42b-6433e95cede1) (SDK Attempt Count: 1)"" (RequestToken: 566183ff-a4b0-b6a2-c1c2-d8feaec7be6b, HandlerErrorCode: NotFound)",1,0.01,1,0,0,0,0,0,1,0,0
Additional properties are not allowed ('EnableBranchAutoBuild' was unexpected),1,0.01,1,0,0,0,0,0,0,1,0
'IoTDataTopic' dependency already enforced by a 'Ref' at 'Resources/IoTDataTopicPolicy/Properties/Topics/0',1,0.01,1,0,0,0,0,0,0,1,0
'SSMAssociation' dependency already enforced by a 'Ref' at 'Resources/EventBridgeScheduler/Properties/Target/Input',1,0.01,0,0,0,0,0,1,0,1,0
"Resource handler returned message: ""Policy arn:aws:iam::aws:policy/service-role/AmplifyServiceRole does not exist or is not attachable. (Service: Iam, Status Code: 404, Request ID: deea5304-c1ef-46f2-b118-307cb1918739) (SDK Attempt Count: 1)"" (RequestToken: 1f478583-8dbc-5d8b-e587-ff28e8843b6b, HandlerErrorCode: NotFound)",1,0.01,1,0,0,0,0,0,1,0,0
'OrganizationDataBucket' dependency already enforced by a 'Ref' at 'Resources/OrgDataCollectorFunction/Properties/Environment/Variables/BUCKET_NAME',1,0.01,1,0,0,0,0,0,0,1,0
'LambdaExecutionRole' dependency already enforced by a 'GetAtt' at 'Resources/OrgDataCollectorFunction/Properties/Role',1,0.01,1,0,0,0,0,0,0,1,0
Circular Dependencies for resource LambdaExecutionRole. Circular dependency with [OrganizationDataBucket],1,0.01,1,0,0,0,0,0,0,1,0
Circular Dependencies for resource OrganizationDataBucket. Circular dependency with [KMSKey],1,0.01,1,0,0,0,0,0,0,1,0
Circular Dependencies for resource LambdaExecutionRole. Circular dependency with [KMSKey],1,0.01,1,0,0,0,0,0,0,1,0
{'Fn::Sub': '${AWS::Region}.images.amazon-linux-2.amazon-linux-2'} is not a 'AWS::EC2::Image.Id' when 'Fn::Sub' is resolved,1,0.01,1,0,0,0,0,0,0,1,0
Line 12: syntax error: could not find expected ':' (syntax),1,0.01,1,0,0,0,0,0,0,0,1
Line 111: syntax error: could not find expected ':' (syntax),1,0.01,1,0,0,0,0,0,0,0,1
'ApiConnection' dependency already enforced by a 'GetAtt' at 'Resources/ApiDestination/Properties/ConnectionArn',1,0.01,1,0,0,0,0,0,0,1,0
"Resource handler returned message: ""1 validation error detected: Value 'validation-stack-661974f8_data_rule' at 'ruleName' failed to satisfy constraint: Member must satisfy regular expression pattern: ^[a-zA-Z0-9_]+$ (Service: Iot, Status Code: 400, Request ID: cd996f35-b4d1-457e-97e2-705882e32446) (SDK Attempt Count: 1)"" (RequestToken: e6228356-37b3-183e-06a4-e7247e555906, HandlerErrorCode: InvalidRequest)",1,0.01,1,0,0,0,0,0,1,0,0
'LambdaExecutionRole' dependency already enforced by a 'GetAtt' at 'Resources/SnapshotManagementFunction/Properties/Role',1,0.01,1,0,0,0,0,0,0,1,0
"Line 32: too many spaces inside brackets
Line 32: too many spaces inside brackets
Line 82: too many spaces inside brackets
Line 82: too many spaces inside brackets
Line 95: too many spaces inside brackets
Line 95: too many spaces inside brackets",1,0.01,0,0,0,0,0,1,0,0,1
"Resource handler returned message: ""Invalid request provided: ssm is not a supported service for a target. (Service: Scheduler, Status Code: 400, Request ID: 4fb87955-735e-4459-b0d4-bbde225fe917)"" (RequestToken: 0a83ed7e-424b-0494-53f2-8e600b9c16e2, HandlerErrorCode: InvalidRequest)",1,0.01,0,0,0,0,0,1,1,0,0
"Line 90: too many spaces inside brackets
Line 90: too many spaces inside brackets
Line 103: too many spaces inside brackets
Line 103: too many spaces inside brackets",1,0.01,0,0,0,0,0,1,0,0,1
'HasPermissionsBoundary' is not one of [],1,0.01,0,0,0,0,0,1,0,1,0
"YAML syntax error at line 3, column 25: mapping values are not allowed here",1,0.01,1,0,0,0,0,0,0,0,1
"Resource handler returned message: ""Unable to validate the following destination configurations (Service: S3, Status Code: 400, Request ID: 9JABRZRYW951BFN4, Extended Request ID: 0Zgg3YbpNaV8dH+YvkuXglxc8dkfnj/bewtXxexHdWNBwY9CJIe0MDfQY0wahXGu4kEyj/eOmCA=) (SDK Attempt Count: 1)"" (RequestToken: 29ee8e7f-2554-6242-c2a0-160440fdeab9, HandlerErrorCode: InvalidRequest)",1,0.01,0,0,0,0,0,1,1,0,0
"'BucketName' is not one of ['SQSQueueName', 'SQSQueue', 'S3Bucket', 'SQSQueuePolicy', 'AWS::AccountId', 'AWS::NoValue', 'AWS::NotificationARNs', 'AWS::Partition', 'AWS::Region', 'AWS::StackId', 'AWS::StackName', 'AWS::URLSuffix']",1,0.01,0,0,0,0,0,1,0,1,0
"Resource handler returned message: ""Unable to validate the following destination configurations (Service: S3, Status Code: 400, Request ID: XR5HCN4KB3KAXEDT, Extended Request ID: 0ot1xuBdc9x/o1w5oLEId4oafqKzo116J2xrJSoTTyG9rd4QbO/64aI3/Tj9QKevxjFCQCXRJVE=) (SDK Attempt Count: 1)"" (RequestToken: 2f9b6bb2-123e-f103-2924-b009a5281b38, HandlerErrorCode: InvalidRequest)",1,0.01,0,0,0,0,0,1,1,0,0
"Line 43: too many spaces inside braces
Line 43: too many spaces inside braces",1,0.01,0,0,0,0,0,1,0,0,1
"Resource handler returned message: ""s3-notification-bucket already exists (Service: S3, Status Code: 0, Request ID: null)"" (RequestToken: 0a761128-43f7-3d3a-ff5b-77fa9d5eb406, HandlerErrorCode: AlreadyExists)",1,0.01,0,0,0,0,0,1,1,0,0
"Line 22: too many spaces inside brackets
Line 22: too many spaces inside brackets
Line 22: too many spaces inside brackets
Line 22: too many spaces inside brackets
Line 51: too many spaces inside brackets
Line 51: too many spaces inside brackets",1,0.01,0,0,0,0,0,1,0,0,1
"Line 24: too many spaces inside brackets
Line 24: too many spaces inside brackets
Line 54: too many spaces inside brackets
Line 54: too many spaces inside brackets",1,0.01,0,0,0,0,0,1,0,0,1
"Line 34: too many spaces inside brackets
Line 34: too many spaces inside brackets
Line 35: too many spaces inside brackets
Line 35: too many spaces inside brackets
Line 35: too many spaces inside brackets
Line 35: too many spaces inside brackets
Line 74: too many spaces inside brackets
Line 74: too many spaces inside brackets
Line 77: too many spaces inside brackets
Line 77: too many spaces inside brackets
Line 231: too many spaces inside brackets
Line 231: too many spaces inside brackets",1,0.01,0,0,0,0,0,1,0,0,1
"Resource handler returned message: ""The vpc ID 'vpc-0e29c0d6e0c5c2f9c' does not exist (Service: Ec2, Status Code: 400, Request ID: dd03c4d6-dc92-4fd6-8604-71e9dadc5177)"" (RequestToken: 13f53ae8-de0b-2111-939d-47543f0c4c2a, HandlerErrorCode: InvalidRequest)",1,0.01,1,0,0,0,0,0,1,0,0
"Resource handler returned message: ""No subnets found for the default VPC 'vpc-0bc6993a305052342'. Please specify a subnet. (Service: Ec2, Status Code: 400, Request ID: 22a8c616-34a6-4d1e-94b6-dfd22e1580d6)"" (RequestToken: 09e7fd56-3177-ebd9-9479-d4a5fca8856a, HandlerErrorCode: InvalidRequest)",1,0.01,1,0,0,0,0,0,1,0,0
'MySecurityGroup' dependency already enforced by a 'Ref' at 'Resources/MyEC2Instance/Properties/SecurityGroups/0',1,0.01,1,0,0,0,0,0,0,1,0
'InstanceSecurityGroup' dependency already enforced by a 'Ref' at 'Resources/EC2Instance/Properties/SecurityGroups/0',1,0.01,1,0,0,0,0,0,0,1,0
"Resource handler returned message: ""No subnets found for the default VPC 'vpc-0bc6993a305052342'. Please specify a subnet. (Service: Ec2, Status Code: 400, Request ID: 3acdbc4c-c968-4a26-978b-6ae836094e15)"" (RequestToken: c4bf70ec-37b2-0a45-4a78-7637c1912cce, HandlerErrorCode: InvalidRequest)",1,0.01,1,0,0,0,0,0,1,0,0
"'AWS::SSM::Parameter::Value<AWS::String>/aws/service/ami-amazon-linux-latest/amzn2-ami-hvm-x86_64-gp2' is not one of ['InstanceType', 'KeyName', 'InstanceSecurityGroup', 'EC2Instance', 'AWS::AccountId', 'AWS::NoValue', 'AWS::NotificationARNs', 'AWS::Partition', 'AWS::Region', 'AWS::StackId', 'AWS::StackName', 'AWS::URLSuffix']",1,0.01,1,0,0,0,0,0,0,1,0
"Resource handler returned message: ""{""ValidationErrorFields"":[{""Name"":""BatchSize"",""Message"":""The configured batch size 100 is greater than the max supported batch size 10 for target events.""}]} (Service: Pipes, Status Code: 400, Request ID: 1e2a1ebc-b7c5-4527-b977-5d4be7874388)"" (RequestToken: d1908f0d-aa88-2cf6-d8ab-9c19dfb7fd6a, HandlerErrorCode: InvalidRequest)",1,0.01,0,0,0,0,0,1,1,0,0
"Resource handler returned message: ""User: arn:aws:iam::644519422710:user/tianyi_test is not authorized to perform: s3:PutBucketPolicy on resource: ""arn:aws:s3:::validation-stack-bbf87b20-bucket-uduyyl402gtk"" because public policies are blocked by the BlockPublicPolicy block public access setting. (Service: S3, Status Code: 403, Request ID: D9G2YW6QS1FF8C7N, Extended Request ID: ZCwzM06evAZzZq37El2ZbSPsfKRoVqKwDBx1iBUtzi3b9RYMtA0avByacq3kMuwl6rBQdRO7g30=)"" (RequestToken: fb5ea386-630c-8cb8-e1f7-6cc670680821, HandlerErrorCode: AccessDenied)",1,0.01,1,0,0,0,0,0,1,0,0
'WebsiteBucket' dependency already enforced by a 'Ref' at 'Resources/WebsiteBucketPolicy/Properties/PolicyDocument/Statement/0/Resource/Fn::Join/1/1',1,0.01,1,0,0,0,0,0,0,1,0
'WebsiteBucket' dependency already enforced by a 'Ref' at 'Resources/WebsiteBucketPolicy/Properties/Bucket',1,0.01,1,0,0,0,0,0,0,1,0
"Resource handler returned message: ""CloudFormation does not support using $Latest or $Default for LaunchTemplate version.  Please specify a version number or name."" (RequestToken: 6b06ad56-f148-0322-71cb-d10d209be27d, HandlerErrorCode: InvalidRequest)",1,0.01,0,0,0,0,0,1,1,0,0
"Resource handler returned message: ""CloudFormation does not support using $Latest or $Default for LaunchTemplate version.  Please specify a version number or name."" (RequestToken: 77546698-cd58-a223-a722-93c1bcfd9225, HandlerErrorCode: InvalidRequest)",1,0.01,0,0,0,0,0,1,1,0,0
"Resource handler returned message: ""Policy arn:aws:iam::aws:policy/AmazonEC2RoleforSSM does not exist or is not attachable. (Service: Iam, Status Code: 404, Request ID: 92073d89-cfd2-4522-94ea-2d67783246d1) (SDK Attempt Count: 1)"" (RequestToken: c8631624-cc2d-d4ff-9c91-86e3597fdc2b, HandlerErrorCode: NotFound)",1,0.01,0,0,0,0,0,1,1,0,0
"Resource handler returned message: ""Policy arn:aws:iam::aws:policy/AmazonEC2RoleforSSM does not exist or is not attachable. (Service: Iam, Status Code: 404, Request ID: 490cf683-5210-4186-93e3-1eefced869bc) (SDK Attempt Count: 1)"" (RequestToken: b1dc932a-19d7-4ebf-4245-858a9c3f4ba3, HandlerErrorCode: NotFound)",1,0.01,0,0,0,0,0,1,1,0,0
"Resource handler returned message: ""Policy arn:aws:iam::aws:policy/AmazonEC2RoleforSSM does not exist or is not attachable. (Service: Iam, Status Code: 404, Request ID: 096f51b5-9681-4f94-8df7-6b9560d9ea4b) (SDK Attempt Count: 1)"" (RequestToken: 048334e2-7296-36c2-d4d7-919029a65622, HandlerErrorCode: NotFound)",1,0.01,0,0,0,0,0,1,1,0,0
"'AWS::Vpc' is not one of ['InstanceType', 'EC2KeyPair', 'EC2SecurityGroup', 'EC2Instance', 'AWS::AccountId', 'AWS::NoValue', 'AWS::NotificationARNs', 'AWS::Partition', 'AWS::Region', 'AWS::StackId', 'AWS::StackName', 'AWS::URLSuffix']",1,0.01,1,0,0,0,0,0,0,1,0
"Line 39: too many spaces inside brackets
Line 39: too many spaces inside brackets",1,0.01,0,0,0,0,0,1,0,0,1
"'AWS::Subnet' is not one of ['InstanceType', 'EC2KeyPair', 'EC2SecurityGroup', 'EC2Instance', 'AWS::AccountId', 'AWS::NoValue', 'AWS::NotificationARNs', 'AWS::Partition', 'AWS::Region', 'AWS::StackId', 'AWS::StackName', 'AWS::URLSuffix']",1,0.01,1,0,0,0,0,0,0,1,0
"Line 68: duplication of key ""ImageId"" in mapping",1,0.01,1,0,0,0,0,0,0,0,1
"Resource handler returned message: ""Property ProvisionedThroughput can't be used with PAY_PER_REQUEST BillingMode."" (RequestToken: df0f6b62-aefd-2a24-4ea0-44dfac42d52a, HandlerErrorCode: InvalidRequest)",1,0.01,1,0,0,0,0,0,1,0,0
Circular Dependencies for resource InputBucket. Circular dependency with [EDITransformerFunction],1,0.01,0,0,0,0,0,1,0,1,0
"Line 65: wrong indentation: expected 20 but found 22
Line 66: too many spaces inside braces
Line 66: too many spaces inside braces
Line 72: wrong indentation: expected 20 but found 22
Line 73: too many spaces inside braces
Line 73: too many spaces inside braces
Line 122: wrong indentation: expected 8 but found 10
Line 123: too many spaces inside braces
Line 123: too many spaces inside braces",1,0.01,0,0,0,0,0,1,0,0,1
"{'Fn::Sub': '${AWS::StackName}-input-bucket'} is not of type 'string', 'boolean', 'integer', 'number', 'array'",1,0.01,0,0,0,0,0,1,0,1,0
"{'Fn::Sub': '${AWS::StackName}-output-bucket'} is not of type 'string', 'boolean', 'integer', 'number', 'array'",1,0.01,0,0,0,0,0,1,0,1,0
"Resource handler returned message: ""{""ValidationErrorFields"":[{""Name"":""BatchSize"",""Message"":""The configured batch size 100 is greater than the max supported batch size 10 for target events.""}]} (Service: Pipes, Status Code: 400, Request ID: 0ce30f7f-c68e-44c6-ad8b-f4235ce44f6e)"" (RequestToken: 7f7dffd0-3d91-40fb-3fa3-3ede467458d4, HandlerErrorCode: InvalidRequest)",1,0.01,0,0,0,0,0,1,1,0,0
"Resource handler returned message: ""vpce-0123456789abcdef0 is not a valid VPC endpoint id (Service: ApiGateway, Status Code: 400, Request ID: aa7d2ab7-7db7-47a5-abcd-a0e6ccadc61f) (SDK Attempt Count: 1)"" (RequestToken: 62ff51fc-5f8f-87d4-2007-9abb3ebf8cc6, HandlerErrorCode: InvalidRequest)",1,0.01,0,0,0,0,0,1,1,0,0
"Resource handler returned message: ""The domain name you provided already exists. (Service: ApiGateway, Status Code: 400, Request ID: d6038eff-d033-4a22-87c1-3387daf13f00)"" (RequestToken: e087493c-c249-d2fc-93f5-b7c52fe7e21d, HandlerErrorCode: AlreadyExists)",1,0.01,0,0,0,0,0,1,1,0,0
"Resource handler returned message: ""vpce-0123456789abcdef0 is not a valid VPC endpoint id (Service: ApiGateway, Status Code: 400, Request ID: 19f450c1-3fb2-4bb7-8d19-bece3efb92e2) (SDK Attempt Count: 1)"" (RequestToken: 3c4fdbe3-0fe6-e770-1a09-a62ea4d01ce9, HandlerErrorCode: InvalidRequest)",1,0.01,0,0,0,0,0,1,1,0,0
"Resource handler returned message: ""The domain name you provided already exists. (Service: ApiGateway, Status Code: 400, Request ID: 52cbebd5-b36a-4f25-aaec-934ed5b34c9b)"" (RequestToken: 00a16a5b-2e20-e7ab-7581-7e5776d15d2e, HandlerErrorCode: AlreadyExists)",1,0.01,0,0,0,0,0,1,1,0,0
"{'Fn::Sub': 'arn:aws:execute-api:${AWS::Region}:${AWS::AccountId}:${ApiId}/*/GET/lambda', 'Variables': {'ApiId': {'Ref': 'ApiGatewayRestApi'}}} is not of type 'string'",1,0.01,0,0,0,0,0,1,0,1,0
"'AWS::Timestamp' is not one of ['VpcEndpointId', 'CustomDomainName', 'CertificateArn', 'LambdaHandler', 'LambdaRuntime', 'LambdaTimeout', 'LambdaExecutionRole', 'LambdaFunction', 'ApiGatewayRestApi', 'ApiGatewayResource', 'ApiGatewayMethod', 'ApiGatewayDeployment', 'ApiGatewayStage', 'ApiGatewayDomainName', 'ApiGatewayBasePathMapping', 'LambdaPermission', 'AWS::AccountId', 'AWS::NoValue', 'AWS::NotificationARNs', 'AWS::Partition', 'AWS::Region', 'AWS::StackId', 'AWS::StackName', 'AWS::URLSuffix']",1,0.01,0,0,0,0,0,1,0,1,0
"'LambdaFunctionArn' is not one of ['VpcEndpointId', 'CustomDomainName', 'CertificateArn', 'LambdaHandler', 'LambdaRuntime', 'LambdaTimeout', 'LambdaExecutionRole', 'LambdaFunction', 'ApiGatewayRestApi', 'ApiGatewayResource', 'ApiGatewayMethod', 'ApiGatewayDeployment', 'ApiGatewayStage', 'ApiGatewayDomainName', 'ApiGatewayBasePathMapping', 'LambdaPermission', 'AWS::AccountId', 'AWS::NoValue', 'AWS::NotificationARNs', 'AWS::Partition', 'AWS::Region', 'AWS::StackId', 'AWS::StackName', 'AWS::URLSuffix']",1,0.01,0,0,0,0,0,1,0,1,0
"{'Fn::Sub': 'arn:aws:execute-api:${AWS::Region}:${AWS::AccountId}:${RestApiId}/*/GET/lambda', 'Variables': {'RestApiId': {'Ref': 'ApiGatewayRestApi'}}} is not of type 'string'",1,0.01,0,0,0,0,0,1,0,1,0
"{'Fn::Sub': 'arn:aws:apigateway:${AWS::Region}:lambda:path/2015-03-31/functions/${LambdaArn}/invocations', 'Variables': {'LambdaArn': {'Fn::GetAtt': ['LambdaFunction', 'Arn']}}} is not of type 'string'",1,0.01,0,0,0,0,0,1,0,1,0
"Line 100: wrong indentation: expected 12 but found 14
Line 101: wrong indentation: expected 12 but found 14
Line 102: wrong indentation: expected 12 but found 14
Line 103: wrong indentation: expected 12 but found 14
Line 104: wrong indentation: expected 10 but found 12",1,0.01,0,0,0,0,0,1,0,0,1
"Line 48: too many spaces after colon
Line 49: too many spaces after colon
Line 63: too many spaces after colon
Line 64: too many spaces after colon",1,0.01,0,0,0,0,0,1,0,0,1
"Resource handler returned message: ""Invalid request provided: AWS::Cognito::UserPoolDomain"" (RequestToken: da2a8193-35a0-0575-de64-469fa3692bb7, HandlerErrorCode: InvalidRequest)",1,0.01,0,0,0,0,0,1,1,0,0
"Resource handler returned message: ""Invalid request provided: AWS::Cognito::UserPoolDomain"" (RequestToken: b64cca55-0b0d-90f6-0067-e5ca7a11b4ac, HandlerErrorCode: InvalidRequest)",1,0.01,0,0,0,0,0,1,1,0,0
'CognitoUserPool' dependency already enforced by a 'Ref' at 'Resources/CognitoUserPoolDomain/Properties/UserPoolId',1,0.01,0,0,0,0,0,1,0,1,0
"Resource handler returned message: ""Invalid request provided: AWS::Cognito::UserPoolDomain"" (RequestToken: bb901e22-3041-dfd2-b6ea-32ec33f916ab, HandlerErrorCode: InvalidRequest)",1,0.01,0,0,0,0,0,1,1,0,0
"Resource handler returned message: ""10.10.10.10 is not a valid VPC endpoint id (Service: ApiGateway, Status Code: 400, Request ID: 49740878-077e-4809-a695-4361bf22329a) (SDK Attempt Count: 1)"" (RequestToken: 33505ebc-0b0e-8ffd-506f-ca8cbe6b23bd, HandlerErrorCode: InvalidRequest)",1,0.01,0,0,0,0,0,1,1,0,0
"Resource handler returned message: ""{""ValidationErrorFields"":[{""Name"":""BatchSize"",""Message"":""The configured batch size 100 is greater than the max supported batch size 10 for target events.""}]} (Service: Pipes, Status Code: 400, Request ID: 1596d4ac-da46-465f-a1af-0f7dc6015bc0)"" (RequestToken: 0c443f02-8edb-c5ef-8d2c-1da5e5931239, HandlerErrorCode: InvalidRequest)",1,0.01,0,0,0,0,0,1,1,0,0
"Properties validation failed for resource DataDogApiDestination with message:
#/ConnectionArn: failed validation constraint for keyword [pattern]",1,0.01,0,0,0,0,0,1,1,0,0
"Resource handler returned message: ""Unable to validate the following destination configurations (Service: S3, Status Code: 400, Request ID: P5RY555CR898AC1P, Extended Request ID: hQRpxs5fbxxsAbSGCCTnkGWIrV99Ogep0rhUyj97xldhcZyFj8My22QW7jH00LUpXyjm0eptr+w=) (SDK Attempt Count: 1)"" (RequestToken: 1ee09ce3-2b16-a3ea-357d-a602e01e087b, HandlerErrorCode: InvalidRequest)",1,0.01,0,0,0,0,0,1,1,0,0
"Resource handler returned message: ""{""ValidationErrorFields"":[{""Name"":""BatchSize"",""Message"":""The configured batch size 100 is greater than the max supported batch size 10 for target events.""}]} (Service: Pipes, Status Code: 400, Request ID: 60fd056e-8473-4daa-95ef-722f0ed7ed77)"" (RequestToken: c498f15a-e048-3253-bd1d-e9f8396e945e, HandlerErrorCode: InvalidRequest)",1,0.01,0,0,0,0,0,1,1,0,0
"Resource handler returned message: ""{""ValidationErrorFields"":[{""Name"":""BatchSize"",""Message"":""The configured batch size 100 is greater than the max supported batch size 10 for target events.""}]} (Service: Pipes, Status Code: 400, Request ID: fd3c6f44-6752-4969-87be-71bfd1bd282e)"" (RequestToken: 1f358f6c-770d-0449-9fe4-8a2ecf809b80, HandlerErrorCode: InvalidRequest)",1,0.01,0,0,0,0,0,1,1,0,0
"Resource handler returned message: ""{""ValidationErrorFields"":[{""Name"":""BatchSize"",""Message"":""The configured batch size 100 is greater than the max supported batch size 10 for target events.""}]} (Service: Pipes, Status Code: 400, Request ID: 39119f73-788d-458b-9a55-ba736688b102)"" (RequestToken: dc3bd3a4-c988-39de-3e57-ec674df41a92, HandlerErrorCode: InvalidRequest)",1,0.01,0,0,0,0,0,1,1,0,0
"Line 51: too many spaces inside brackets
Line 51: too many spaces inside brackets
Line 56: too many spaces inside brackets
Line 56: too many spaces inside brackets
Line 68: too many spaces inside brackets
Line 68: too many spaces inside brackets
Line 70: too many spaces inside brackets
Line 70: too many spaces inside brackets
Line 76: too many spaces inside brackets
Line 76: too many spaces inside brackets
Line 95: too many spaces inside brackets
Line 95: too many spaces inside brackets
Line 97: too many spaces inside brackets
Line 97: too many spaces inside brackets
Line 103: too many spaces inside brackets
Line 103: too many spaces inside brackets
Line 124: too many spaces inside brackets
Line 124: too many spaces inside brackets
Line 129: too many spaces inside brackets
Line 129: too many spaces inside brackets",1,0.01,0,0,0,0,0,1,0,0,1
'SecretsManagerAlertsSNSTopic' dependency already enforced by a 'Ref' at 'Resources/SecretsManagerSNSTopicPolicy/Properties/PolicyDocument/Statement/0/Resource',1,0.01,0,0,0,0,0,1,0,1,0
'SecretsManagerAlertsSNSTopic' dependency already enforced by a 'Ref' at 'Resources/SecretsManagerSNSTopicPolicy/Properties/Topics/0',1,0.01,0,0,0,0,0,1,0,1,0
'EDITransformerFunction' dependency already enforced by a 'GetAtt' at 'Resources/LambdaInvokePermission/Properties/FunctionName',1,0.01,0,0,0,0,0,1,0,1,0
"'Status' is not one of ['AwsAccountId', 'ServiceRole'] in ['us-east-1']",1,0.01,1,0,0,0,0,0,0,1,0
Additional properties are not allowed ('Enable' was unexpected),1,0.01,1,0,0,0,0,0,0,1,0
"Resource handler returned message: ""Not authorized for images: [ami-0d86c69530d0a048e] (Service: Ec2, Status Code: 400, Request ID: 201f7acd-f079-488c-8973-9d7b6f65ac01) (SDK Attempt Count: 1)"" (RequestToken: 5ed529ef-6aaf-ef41-dbfe-5dd03546632b, HandlerErrorCode: InvalidRequest)",1,0.01,1,0,0,0,0,0,1,0,0
Additional properties are not allowed ('RepublishAction' was unexpected),1,0.01,1,0,0,0,0,0,0,1,0
'DynamoDBTable' dependency already enforced by a 'Ref' at 'Resources/WriteScalingTarget/Properties/ResourceId',1,0.01,1,0,0,0,0,0,0,1,0
Parameter BucketName not used.,1,0.01,1,0,0,0,0,0,0,1,0
"Resource handler returned message: ""my-unique-bucket-name already exists (Service: S3, Status Code: 0, Request ID: null)"" (RequestToken: 5278868f-1a1f-039e-1582-a33bced17f78, HandlerErrorCode: AlreadyExists)",1,0.01,1,0,0,0,0,0,1,0,0
"Line 10: wrong indentation: expected 8 but found 5
Line 15: syntax error: found character '`' that cannot start any token (syntax)",1,0.01,1,0,0,0,0,0,0,0,1
'ResourceShare' dependency already enforced by a 'Ref' at 'Resources/ResourceAssociation/Properties/ResourceShareArn',1,0.01,1,0,0,0,0,0,0,1,0
'SecondaryRoutingControl' dependency already enforced by a 'GetAtt' at 'Resources/SafetyRule/Properties/AssertionRule/AssertedControls/1',1,0.01,1,0,0,0,0,0,0,1,0
'ControlPanel' dependency already enforced by a 'GetAtt' at 'Resources/SecondaryRoutingControl/Properties/ControlPanelArn',1,0.01,1,0,0,0,0,0,0,1,0
Line 208: syntax error: could not find expected ':' (syntax),1,0.01,1,0,0,0,0,0,0,0,1
Circular Dependencies for resource DBSecurityGroup. Circular dependency with [EC2SecurityGroup],1,0.01,1,0,0,0,0,0,0,1,0
Circular Dependencies for resource EC2SecurityGroup. Circular dependency with [DBSecurityGroup],1,0.01,1,0,0,0,0,0,0,1,0
"Line 154: too many spaces inside brackets
Line 155: too many spaces inside brackets",1,0.01,1,0,0,0,0,0,0,0,1
'EventBridgeRole' dependency already enforced by a 'GetAtt' at 'Resources/SecretsEventRule/Properties/Targets/0/RoleArn',1,0.01,1,0,0,0,0,0,0,1,0
{'Fn::Sub': '${AWS::AccountId}-${AWS::Region}-events-bucket'} is not of type 'string',1,0.01,1,0,0,0,0,0,0,1,0
'IoTDataTopic' dependency already enforced by a 'Ref' at 'Resources/IoTDataRule/Properties/TopicRulePayload/Actions/0/Sns/TargetArn',1,0.01,1,0,0,0,0,0,0,1,0
'ResourceQuery' is not one of ['Arn'] in ['us-east-1'],1,0.01,1,0,0,0,0,0,0,1,0
'IoTRuleRole' dependency already enforced by a 'GetAtt' at 'Resources/IoTDataRule/Properties/TopicRulePayload/ErrorAction/RepublishAction/RoleArn',1,0.01,1,0,0,0,0,0,0,1,0
